plu_kod,tw_nazwa,tw_cena_sprz,tw_idabaco
3601029953659,WM KARTKI BR 50SZT 14.8X21CM KR,"6,37",5030473
5904988310494,DZIK ENERGY GEL CLASSIC,"9,99",5224621
5904988310708,DZIK ENERGY GEL CLASSIC,"9,99",5224621
5904988310500,DZIK ENERGY GEL GRAPE,"9,99",5224639
9002490281335,RED BULL NAP”J PUSZKA 250ML PIN,"5,59",5233051
5900497033084,Pepsi ginger 2l,"5,09",4779013
5900497036436,"LIPTON RASPBERRY I CHERRY 0,5L","2,69",4444774
5900552076360,FRUGO NAP”J ENERG PINK 330ML,"2,79",3989159
5900352015248,HELLENA NAPOJ NIEGAZOWANY JABLK,"4,89",4114039
5900352015255,HELLENA NAPOJ NIEGAZOWANY JABLK,"4,89",4114047
5900497037211,MOUNTAIN DEW 2X1.5L,"11,99",4114252
5907214114507,SKOROSZYT PP ZIELONY,"0,79",4499414
5907214114521,SKOROSZYT PP Ø”£TY,"0,79",4499422
5906728442885,BRACIA SOK 275ML MUSUJ JAB£/LAW,"3,49",4494480
5905669653268,BRACIA SOK 275ML MUSUJ JAB£/BEZ,"3,49",4494498
5900334010674,TYMBARK NAP”J 500ML CHMIEL CYTR,"2,89",4055307
5900334010650,TYMBARK NAP”J 500ML CHMIEL JA£O,"2,89",4055299
5908260257323,OSHEE VIT NAP COLA MAGNEZ 250ML,"2,39",4055539
5449000039767,KINLEY NAP 1L GAZ AROMA BERRY,"6,79",3669959
5902860416470,SCHWEPP NAP 1.35L TONIC CITR,"6,89",3670718
5900497043267,LIPTON NAP”J 500ML GREEN 20%SOK,"4,99",4217386
5900552084792,BLACK NAP 500ML ENERG SPRIT ZER,"3,49",5024880
5900552082316,FRUGO NAP”J 330ML ENERG MOJITO,"2,99",5024757
5900552080817,4MOVE SPORT 750ML MINT&LIME ZER,"3,99",5024948
5900552090694,FRUGO NAP 250ML GAZ ULTRABLUE,"1,79",5115860
5900552088820,4MOVE NAP 556ML IZOT HYDR LIME,"3,99",5115787
5905868421842,OSHEE VIT NAP 500ML GAZ WIT MIN,"3,49",5211115
5906441360626,ZBYSZKO 3 NAP”J GAZ 1.75L KIWI,"4,79",5214606
5908260250522,OSHEE VIT NAP IZO WIT+MIN 555ML,"3,29",3673993
5906441340253,VERO NAP”J ENERGY N/GAZ 700ML,"2,29",3673811
8809041429038,ALOE VERA NAP”J 1L ALOES 50%,"5,99",3958220
5908260250768,OSHEE VIT NAP ENER LAWEND 555ML,"3,29",4680328
5900334018465,TYMBARK NAP”J 200ML JAB£KO-ANA,"1,39",4129367
5900334018458,TYMBARK NAP”J 200ML JAB£KO-MARA,"1,39",4129391
5907368844084,Isoactiv zielona herbata (sasze,"0,99",4130076
8435185953476,ORANGI NAP 850ML GAZ RED ORANG,"5,39",4008538
8594003849626,KOFOLA NAP”J GAZ ORGIN BU 500ML,"6,79",4524591
4260471621159,VERONI WITAMINA ACTIVE 700ml,"2,99",4527925
5060895743067,PREDATOR NAP ENERG 250ML BRZOSK,"3,69",4079299
5900497041096,ROCKSTAR NAP”J 500ML ENERG STRA,"4,99",3781408
5904730983754,VITA NAP”J 330ML GAZ YERBA GRAP,"3,79",4220869
3601020242899,WM SKOROSZYT PP A6+ 45K Z/AL KR,"10,01",5029095
3601020016346,WM WK£ D/SEG B5 100K KR FR KOPI,"6,23",5029731
3601020453271,WM WK£ D/SEG A4 200K KR FR KOL,"18,08",5029772
3601029896543,WM PRZEK£AD D/SEG 6SZT 24X32CM,"3,99",5028923
613008724221,ARIZONA NAP”J 473ML GREEN TEA,"8,93",5119367
5900334021939,TYMBARK COLOVE NAP”J 500ML LIMO,"3,29",5132360
